customer_zip_code_prefix,pedidos_count,avg_ticket,median_ticket,avg_delivery_days,unique_customers,lat_med,lng_med
11045,51,186.71254901960785,93.0,9.117647058823529,51,-23.970390465433734,-46.32234564570951
35519,51,154.0443137254902,99.9,13.36734693877551,51,-19.87482809063998,-44.98560567343412
30575,51,170.05137254901962,99.9,10.0,51,-19.97551649235395,-43.971936358914604
22750,51,119.73941176470588,84.0,15.387755102040817,51,-22.942726521524516,-43.33383599333488
22743,51,112.90529411764706,72.88,19.229166666666668,51,-22.930412639848665,-43.34703978193807
20260,50,143.193,91.95,10.7,50,-22.919878227018398,-43.21553184638462
18550,50,151.26632653061225,89.0,9.72340425531915,50,-23.285339138631286,-47.67122744308
11900,50,136.7058695652174,94.0,11.0,50,-24.49815873105776,-47.844494347330354
20720,50,137.3624,99.45,11.2,50,-22.90680859062836,-43.28821205966879
29055,50,129.5438,94.4,13.12,50,-20.29948099526813,-40.295279312809534
22770,50,112.68285714285715,89.0,19.78723404255319,50,-22.936854813491813,-43.35996102505908
30170,50,137.81857142857143,99.0,9.73469387755102,50,-19.92772413405276,-43.94438902498696
30150,50,101.6542,66.5,9.775510204081632,50,-19.925930595654158,-43.92704679072655
